film_id,title,release_year,poster_downloaded,tmdb_id,poster_path,filename
138,Jurassic World: El renacer,2025,True,1234821,/2sbGd7kDhMicDkT097FR9a2JyGU.jpg,0138_Jurassic_World__El_renacer.jpg
139,The Mortuary Assistant,2026,True,1470130,/3loVbnQ9hmay4OA6QjV6yMpHRYf.jpg,0139_The_Mortuary_Assistant.jpg
140,Juegos Psicológicos,2021,True,773543,/4dNDuCP3lcg4Wi44QxlJsoxeJBx.jpg,0140_Juegos_Psicológicos.jpg
141,Origen,2010,True,27205,/tXQvtRWfkUUnWJAn2tN3jERIUG.jpg,0141_Origen.jpg
142,Rise of the Conqueror,2026,True,1207162,/615WsMjiK76xBzW6zQNaPjgvnpP.jpg,0142_Rise_of_the_Conqueror.jpg
143,कृष्णावतरम भाग 1: हृदय (हृदयम्),2026,True,1673393,/3dQwU1FaH2VsYFA9U9Shamkr1a8.jpg,0143_क_ष_ण_वतरम_भ_ग_1__ह_दय__ह_दयम__.jpg
144,ಕರಿಕಾಡ,2026,True,1631017,/tL0skwRWivuNZHQD89baWynksct.jpg,0144_ಕರ_ಕ_ಡ.jpg
145,1000 Men and Me: The Bonnie Blue Story,2025,True,1522126,/5dcgoyf8nt6Xt4VSR6Nrn6nwhuz.jpg,0145_1000_Men_and_Me__The_Bonnie_Blue_Story.jpg
146,Sniper: En tierra de nadie,2026,True,1641319,/hdSt80XqI2IWu9WOWZQVecuPT7D.jpg,0146_Sniper__En_tierra_de_nadie.jpg
147,Culpa nuestra,2025,True,1156594,/6kmi6vmp6iOn4KzI7WfnVtAeJhU.jpg,0147_Culpa_nuestra.jpg
148,ฟู้ดทรัค ลัก (รัก) หมูเด้ง,2025,True,1522496,/o25VDgnOOLLA7toYg5E2heOTbN6.jpg,0148_ฟ__ดทร_ค_ล_ก__ร_ก__หม_เด_ง.jpg
149,28 años después: El templo de los huesos,2026,True,1272837,/2DTPapravB7kVBWjm6RsqEWyNqn.jpg,0149_28_años_después__El_templo_de_los_huesos.jpg
150,The Pirates,2014,True,285213,/eUAdsAmfHnBbwKHMADLsnHcEZw0.jpg,0150_The_Pirates.jpg
